delka,zanry,zeme,rok,hodnoceni_procenta,hodnoceni_pocet
84,,Japonsko,1952,NaN,NaN
NaN,Pornografický,USA,NaN,74,17
20,"Komedie,Krátkometrážní",USA,1935,NaN,NaN
122,Drama,Německo,2004,NaN,NaN
22,Komedie,Polsko,2008,NaN,NaN
86,"Thriller,Sci-Fi",USA,2000,24,177
90,"Dobrodružný,Akční",USA,1993,NaN,NaN
23,"Komedie,Rodinný",USA,2010,83,15
79,"Animovaný,Komedie,Fantasy",Kanada,2008,NaN,4
45,Drama,Polsko,2005,NaN,NaN
43,"Drama,Rodinný,Romantický",USA,2013,NaN,3
24,Krátkometrážní,NaN,1982,NaN,NaN
88,"Horor,Thriller",USA,2009,36,24
45,"Komedie,Drama",Polsko,2013,NaN,1
47,Krimi,NaN,1988,NaN,NaN
101,Drama,NaN,2014,NaN,NaN
44,"Drama,Komedie,Rodinný",Slovensko,2016,NaN,5
5,Krátkometrážní,USA,2015,NaN,NaN
3,"Animovaný,Rodinný",Francie,2004,NaN,NaN
12,"Krátkometrážní,Animovaný",NaN,2013,NaN,NaN
NaN,Publicistický,Maďarsko,NaN,NaN,1
1,"Krátkometrážní,Animovaný",NaN,2015,NaN,NaN
52,Thriller,Francie,1989,NaN,3
22,"Animovaný,Komedie",USA,2002,90,370
52,Dokumentární,NaN,2015,NaN,NaN
85,Komedie,NaN,1986,NaN,NaN
30,Dokumentární,Německo,2020,NaN,NaN
1,"Krátkometrážní,Animovaný,Drama",Česko,2020,62,11
23,"Animovaný,Psychologický,Thriller",Japonsko,2020,NaN,4
48,Drama,Polsko,2003,NaN,NaN
22,"Komedie,Drama,Rodinný",USA,1997,NaN,NaN
22,"Komedie,Drama,Rodinný",USA,1998,NaN,NaN
120,Drama,NaN,1977,NaN,NaN
18,"Krátkometrážní,Drama",NaN,1978,NaN,1
NaN,"Akční,Dobrodružný,Komedie",USA,NaN,NaN,4
80,Drama,NaN,1989,NaN,NaN
NaN,,NaN,NaN,NaN,NaN
85,Komedie,USA,1993,NaN,2
92,Thriller,USA,1996,58,13
NaN,"Komedie,Romantický",USA,NaN,NaN,NaN
90,"Drama,Krimi",Kanada,1999,42,13
70,"Komedie,Muzikál",USA,1936,NaN,NaN
60,Drama,Francie,1934,NaN,NaN
90,Komedie,USA,1996,51,81
25,"Animovaný,Akční,Fantasy,Sci-Fi",Japonsko,1988,NaN,NaN
30,Krátkometrážní,USA,1996,NaN,7
98,Muzikál,USA,1944,NaN,2
NaN,"Krátkometrážní,Drama",USA,NaN,NaN,NaN
NaN,Krátkometrážní,USA,NaN,NaN,3
92,"Thriller,Mysteriózní",USA,1989,50,42
96,Akční,USA,1974,NaN,5
NaN,"Mysteriózní,Thriller,Krimi",NaN,NaN,NaN,NaN
16,"Dokumentární,Sportovní",USA,2016,NaN,1
NaN,,USA,NaN,NaN,NaN
