url,country,length,genre,rating_percent,rating_count
https://www.csfd.cz/film/119856-ace-of-the-law/hraji/,,,,,
https://www.csfd.cz/film/141637-detektiv-conan/736064-aka-to-kuro-no-kurasshu-konsui/hraji/,25 min,25 min,/,,
https://www.csfd.cz/film/151073-prokurator-ma-slovo/604639-unter-einem-dach/hraji/,1 h 10 min,1 h 10 min,/,,
https://www.csfd.cz/film/189570-vrazedna-cisla/518378-posledni-hra/galerie/,43 min,43 min,/,,
https://www.csfd.cz/film/195891-pachinko-graffiti/hraji/,80 min,80 min,,,
https://www.csfd.cz/film/197901-oud-en-nieuw/hraji/,,,,,
https://www.csfd.cz/film/240435-martin-a-kocour/galerie/,75 min,75 min,/ Rodinný /,,
https://www.csfd.cz/film/26146-agata/recenze/,80 min,80 min,,,
https://www.csfd.cz/film/264296-sinverguenza/hraji/,65 min,65 min,,,
https://www.csfd.cz/film/312329-jiri-kajinek-mirovsky-mag/recenze/,55 min,55 min,,,
https://www.csfd.cz/film/338313-trollied/676739-episode-8/hraji/,26 min,26 min,,,
https://www.csfd.cz/film/356575-memoires-vives/788188-episode-17/galerie/,43 min,43 min,,,
https://www.csfd.cz/film/362526-qian-li-dan-qi-zhui-xiong/prehled/,,,/,,
https://www.csfd.cz/film/379710-gosgen-ein-film-uber-die-volksbewegung-gegen-atomkraftwerke/prehled/,116 min,116 min,,,
https://www.csfd.cz/film/389818-dobra-carodejka/656424-all-in-the-family/hraji/,42 min,42 min,/,,
https://www.csfd.cz/film/398336-sadie-and-friends-5/hraji/,,,,,
https://www.csfd.cz/film/441438-vrazdiace-pary/838209-katie-belflower-and-mike-simons/galerie/,44 min,44 min,/,,
https://www.csfd.cz/film/477624-the-con-job/hraji/,,,,,
https://www.csfd.cz/film/515203-die-holle-von-verdun/galerie/,90 min,90 min,/,,
https://www.csfd.cz/film/524737-fort-boyard/ucinkuji/,70 min,70 min,Soutěžní /,,
https://www.csfd.cz/film/545869-danse-macabre/recenze/,102 min,102 min,/ Mysteriózní,,
https://www.csfd.cz/film/575079-porcelana/galerie/plakaty/,12 min,12 min,Krátkometrážní /,,
https://www.csfd.cz/film/645372-pribeh-plavca/prehled/,18 min,18 min,Krátkometrážní /,,
https://www.csfd.cz/film/646407-house-of-the-tiger-king/prehled/,105 min,105 min,"Švédsko / Velká Británie,",,
https://www.csfd.cz/film/669267-paris-episoden/prehled/,23 min,23 min,,,
https://www.csfd.cz/film/69295-zlocin-v-ulicich/590100-a-many-splendored-thing/hraji/,,,/,,
https://www.csfd.cz/film/744373-voice-110-kinkju-sireisicu/755544-episode-3/hraji/,54 min,54 min,/ Mysteriózní /,,
https://www.csfd.cz/film/797129-space-babies/galerie/plakaty/,72 min,72 min,,,
https://www.csfd.cz/film/829085-roboodeh-shodeh/galerie/plakaty/,86 min,86 min,/,,
