delka,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zeme
86.0,2000,24.0,177,28,10
23.0,2010,83.0,15,12,10
88.0,2009,36.0,24,10,10
22.0,2002,90.0,370,2,10
1.0,2020,62.0,11,14,12
92.0,1996,58.0,13,28,10
90.0,1999,42.0,13,5,4
90.0,1996,51.0,81,12,10
92.0,1989,50.0,42,28,10
99.0,1998,87.0,165,4,11
83.0,1990,35.0,11,5,2
85.0,2003,14.0,521,24,10
80.0,1966,38.0,18,24,10
7785.0,1992,17.0,5427,1,6
78.0,1951,63.0,16,17,11
89.0,2002,39.0,14,5,6
30.0,1989,89.0,82,12,11
94.0,1999,66.0,125,5,10
22.0,2019,54.0,10,12,10
1240.0,1992,77.0,473,12,11
110.0,1984,84.0,63,5,10
104.0,2000,83.0,100,13,11
46.0,2013,74.0,80,1,6
45.0,2012,76.0,78,1,6
45.0,2017,67.0,68,1,6
45.0,2018,65.0,55,1,6
90.0,1987,63.0,267,2,10
105.0,1947,67.0,11,16,10
115.0,1964,72.0,601,13,11
102.0,1989,71.0,4278,22,10
145.0,2004,88.0,669,12,11
85.0,1946,79.0,204,5,6
87.0,1965,84.0,72,5,3
91.0,2004,56.0,1408,10,10
288.0,2017,65.0,16,2,3
300.0,2008,61.0,67,2,3
70.0,1999,78.0,759,2,10
40.0,1996,63.0,26,2,10
111.0,1980,65.0,23,5,10
18.0,2000,63.0,15,4,12
81.0,2003,36.0,55,10,10
66.0,2001,80.0,49,4,10
90.0,2015,62.0,61,5,1
88.0,2003,43.0,29,5,10
47.0,2010,62.0,27,5,11
110.0,1994,76.0,280,5,1
80.0,1972,61.0,37,10,10
95.0,1977,55.0,11,12,11
70.0,1995,61.0,40,13,12
42.0,1967,87.0,14,6,1
91.0,2002,48.0,13,13,6
92.0,1994,49.0,1004,22,10
93.0,1998,56.0,57,5,10
102.0,1955,78.0,38,29,10
99.0,1994,69.0,122,12,10
105.0,1950,66.0,13,5,2
45.0,2001,15.0,414,13,6
88.0,1997,36.0,21,1,10
92.0,2002,15.0,12,13,6
95.0,2003,46.0,13,13,6
94.0,1994,44.0,43,1,10
100.0,1997,63.0,74,5,10
101.0,1969,80.0,29,5,2
104.0,1999,76.0,592,2,3
180.0,1997,53.0,201,1,10
83.0,1989,66.0,896,1,10
88.0,1966,66.0,10,12,11
28.0,2001,78.0,24,12,11
28.0,2002,75.0,23,12,11
29.0,2002,64.0,20,12,11
29.0,2006,66.0,16,12,11
187.0,1993,76.0,1328,5,10
1176.0,1995,72.0,45,2,3
107.0,2004,43.0,18071,23,10
12.0,2003,66.0,157,14,10
21.0,2013,67.0,196,12,10
21.0,2014,63.0,191,12,10
46.0,2004,66.0,27,5,10
45.0,2006,81.0,98,13,10
45.0,2008,85.0,99,13,10
23.0,1969,88.0,109,2,5
74.0,1993,60.0,395,18,12
92.0,1984,84.0,34,4,1
42.0,1995,85.0,40,4,10
22.0,1997,89.0,81,2,3
25.0,2004,88.0,19,2,3
45.0,2006,64.0,44,4,6
102.0,2000,88.0,61172,5,10
119.0,2001,65.0,12058,12,10
86.0,1975,67.0,15,28,1
32.0,2019,77.0,302,2,10
90.0,1978,64.0,65,19,10
62.0,1948,78.0,25,17,10
112.0,1993,59.0,276,5,10
87.0,1952,72.0,15,5,3
90.0,2001,88.0,100985,2,10
90.0,2004,65.0,36789,2,10
88.0,1995,41.0,2151,10,10
7.0,1938,74.0,42,22,10
