rok,delka,hodnoceni_pocet,zanr,zeme
2000,86.0,177,28,10
2010,23.0,15,12,10
2009,88.0,24,10,10
2002,22.0,370,2,10
2020,1.0,11,14,12
1996,92.0,13,28,10
1999,90.0,13,5,4
1996,90.0,81,12,10
1989,92.0,42,28,10
1998,99.0,165,4,11
1990,83.0,11,5,2
2003,85.0,521,24,10
1966,80.0,18,24,10
1992,7785.0,5427,1,6
1951,78.0,16,17,11
2002,89.0,14,5,6
1989,30.0,82,12,11
1999,94.0,125,5,10
2019,22.0,10,12,10
1992,1240.0,473,12,11
1984,110.0,63,5,10
2000,104.0,100,13,11
2013,46.0,80,1,6
2012,45.0,78,1,6
2017,45.0,68,1,6
2018,45.0,55,1,6
1987,90.0,267,2,10
1947,105.0,11,16,10
1964,115.0,601,13,11
1989,102.0,4278,22,10
2004,145.0,669,12,11
1946,85.0,204,5,6
1965,87.0,72,5,3
2004,91.0,1408,10,10
2017,288.0,16,2,3
2008,300.0,67,2,3
1999,70.0,759,2,10
1996,40.0,26,2,10
1980,111.0,23,5,10
2000,18.0,15,4,12
2003,81.0,55,10,10
2001,66.0,49,4,10
2015,90.0,61,5,1
2003,88.0,29,5,10
2010,47.0,27,5,11
1994,110.0,280,5,1
1972,80.0,37,10,10
1977,95.0,11,12,11
1995,70.0,40,13,12
1967,42.0,14,6,1
2002,91.0,13,13,6
1994,92.0,1004,22,10
1998,93.0,57,5,10
1955,102.0,38,29,10
1994,99.0,122,12,10
1950,105.0,13,5,2
2001,45.0,414,13,6
1997,88.0,21,1,10
2002,92.0,12,13,6
2003,95.0,13,13,6
1994,94.0,43,1,10
1997,100.0,74,5,10
1969,101.0,29,5,2
1999,104.0,592,2,3
1997,180.0,201,1,10
1989,83.0,896,1,10
1966,88.0,10,12,11
2001,28.0,24,12,11
2002,28.0,23,12,11
2002,29.0,20,12,11
2006,29.0,16,12,11
1993,187.0,1328,5,10
1995,1176.0,45,2,3
2004,107.0,18071,23,10
2003,12.0,157,14,10
2013,21.0,196,12,10
2014,21.0,191,12,10
2004,46.0,27,5,10
2006,45.0,98,13,10
2008,45.0,99,13,10
1969,23.0,109,2,5
1993,74.0,395,18,12
1984,92.0,34,4,1
1995,42.0,40,4,10
1997,22.0,81,2,3
2004,25.0,19,2,3
2006,45.0,44,4,6
2000,102.0,61172,5,10
2001,119.0,12058,12,10
1975,86.0,15,28,1
2019,32.0,302,2,10
1978,90.0,65,19,10
1948,62.0,25,17,10
1993,112.0,276,5,10
1952,87.0,15,5,3
2001,90.0,100985,2,10
2004,90.0,36789,2,10
1995,88.0,2151,10,10
1938,7.0,42,22,10
1994,89.0,442,1,10
1939,8.0,36,2,10
1943,7.0,44,2,10
2009,48.0,15,4,11
1940,7.0,14,2,10
1983,110.0,14,5,11
1987,82.0,20,5,10
1999,1056.0,76,2,3
2001,17.0,17,12,10
1996,93.0,40,5,10
2001,95.0,18,5,10
1991,30.0,16,11,10
1984,102.0,66,12,10
1999,82.0,41,4,10
1988,103.0,1473,12,10
1988,90.0,53,12,10
1936,108.0,27,16,10
1929,27.0,81,14,1
1993,30.0,207,12,12
1910,8.0,38,14,1
1974,88.0,65,10,11
2001,115.0,163,5,10
1987,91.0,21,5,10
2010,60.0,26,13,11
1983,140.0,44,5,3
2002,75.0,120,12,10
2005,44.0,129,1,10
2010,43.0,109,1,10
2011,42.0,105,1,10
2012,44.0,67,1,10
2017,43.0,54,1,10
2021,43.0,37,1,10
1988,120.0,56,27,11
2002,25.0,26,2,3
2002,25.0,26,2,3
2005,25.0,16,2,3
2007,25.0,17,2,3
2011,25.0,13,2,3
2014,25.0,12,2,3
2014,25.0,12,2,3
2014,25.0,12,2,3
2017,25.0,11,2,3
1947,7.0,384,2,10
1995,73.0,37,19,10
1992,22.0,54,2,10
1946,7.0,25,2,10
2007,546.0,49,24,10
2003,60.0,27,4,11
1995,96.0,19,7,10
2000,96.0,82,13,10
2005,468.0,49,12,11
2017,45.0,13,12,11
2004,92.0,34,12,6
1989,109.0,685,10,10
2004,90.0,115,13,11
1982,85.0,143,10,10
1990,91.0,32,3,10
2003,77.0,160,10,10
2004,50.0,31,5,12
2004,23.0,93,2,3
2004,23.0,94,2,3
2004,23.0,93,2,3
2006,23.0,65,2,3
1942,9.0,52,2,10
1941,78.0,82,22,10
1998,113.0,256,12,10
1991,90.0,10,19,10
1983,120.0,22,5,13
2007,624.0,1234,2,3
1986,93.0,162,1,10
2000,52.0,135,5,9
2002,24.0,25,12,11
1956,6.0,42,2,10
1969,109.0,60,13,11
1998,106.0,20,5,11
2002,104.0,377,1,10
2004,43.0,131,5,10
2005,43.0,119,5,10
2007,43.0,93,5,10
2010,43.0,75,5,10
2011,43.0,75,5,10
2005,30.0,30,12,10
2009,42.0,26,13,10
2015,53.0,18,4,10
2007,22.0,45,2,10
2013,22.0,29,2,10
2016,22.0,34,2,10
2016,22.0,34,2,10
2020,22.0,10,2,10
2005,94.0,13,22,10
1984,100.0,15,5,10
1997,93.0,6690,12,10
2015,324.0,192,2,3
2003,1095.0,44,13,6
1997,112.0,416,5,4
1993,92.0,220,22,10
1997,91.0,1696,12,10
1983,100.0,14,5,10
2006,99.0,3055,12,10
2010,22.0,13,2,10
2010,22.0,11,2,10
2006,100.0,11085,2,10
2009,93.0,3243,5,9
1988,22.0,13,2,10
2005,540.0,14,5,10
2006,21.0,449,12,10
2009,22.0,319,12,10
2010,22.0,308,12,10
2008,12.0,518,14,12
1978,86.0,122,4,11
1945,111.0,703,5,10
2008,43.0,67,5,10
2015,43.0,46,5,10
2016,43.0,43,5,10
2018,43.0,47,5,10
1993,92.0,9628,12,10
2010,20.0,29,14,12
2005,25.0,177,2,10
2006,25.0,155,2,10
2007,550.0,551,2,10
2008,25.0,153,2,10
2008,30.0,184,2,10
