delka,zeme,rok,hodnoceni_procenta,hodnoceni_pocet,zanr,zanr_id,zeme_id
86.0,USA,2000,24.0,177,Thriller,28,10
23.0,USA,2010,83.0,15,Komedie,12,10
88.0,USA,2009,36.0,24,Horor,10,10
22.0,USA,2002,90.0,370,Animovaný,2,10
1.0,Česko,2020,62.0,11,Krátkometrážní,14,12
92.0,USA,1996,58.0,13,Thriller,28,10
90.0,Kanada,1999,42.0,13,Drama,5,4
90.0,USA,1996,51.0,81,Komedie,12,10
92.0,USA,1989,50.0,42,Thriller,28,10
99.0,Velká Británie,1998,87.0,165,Dokumentární,4,11
83.0,Itálie,1990,35.0,11,Drama,5,2
85.0,USA,2003,14.0,521,Sci-Fi,24,10
80.0,USA,1966,38.0,18,Sci-Fi,24,10
7785.0,Německo,(1992–2006),17.0,5 427,Akční,1,6
78.0,Velká Británie,1951,63.0,16,Mysteriózní,17,11
89.0,Německo,2002,39.0,14,Drama,5,6
30.0,Velká Británie,1989,89.0,82,Komedie,12,11
94.0,USA,1999,66.0,125,Drama,5,10
22.0,USA,2019,54.0,10,Komedie,12,10
1240.0,Velká Británie,(1992–2012),77.0,473,Komedie,12,11
110.0,USA,1984,84.0,63,Drama,5,10
104.0,Velká Británie,2000,83.0,100,Krimi,13,11
46.0,Německo,2013,74.0,80,Akční,1,6
45.0,Německo,2012,76.0,78,Akční,1,6
45.0,Německo,2017,67.0,68,Akční,1,6
45.0,Německo,2018,65.0,55,Akční,1,6
90.0,USA,1987,63.0,267,Animovaný,2,10
105.0,USA,1947,67.0,11,Muzikál,16,10
115.0,Velká Británie,1964,72.0,601,Krimi,13,11
102.0,USA,1989,71.0,4 278,Rodinný,22,10
145.0,Velká Británie,2004,88.0,669,Komedie,12,11
85.0,Německo,1946,79.0,204,Drama,5,6
87.0,Japonsko,1965,84.0,72,Drama,5,3
91.0,USA,2004,56.0,1 408,Horor,10,10
288.0,Japonsko,2017,65.0,16,Animovaný,2,3
300.0,Japonsko,2008,61.0,67,Animovaný,2,3
70.0,USA,1999,78.0,759,Animovaný,2,10
40.0,USA,1996,63.0,26,Animovaný,2,10
111.0,USA,1980,65.0,23,Drama,5,10
18.0,Česko,2000,63.0,15,Dokumentární,4,12
81.0,USA,2003,36.0,55,Horor,10,10
66.0,USA,2001,80.0,49,Dokumentární,4,10
90.0,Francie,2015,62.0,61,Drama,5,1
88.0,USA,2003,43.0,29,Drama,5,10
47.0,Velká Británie,2010,62.0,27,Drama,5,11
110.0,Francie,1994,76.0,280,Drama,5,1
80.0,USA,1972,61.0,37,Horor,10,10
95.0,Velká Británie,1977,55.0,11,Komedie,12,11
70.0,Česko,1995,61.0,40,Krimi,13,12
42.0,Francie,1967,87.0,14,Experimentální,6,1
91.0,Německo,2002,48.0,13,Krimi,13,6
92.0,USA,1994,49.0,1 004,Rodinný,22,10
93.0,USA,1998,56.0,57,Drama,5,10
102.0,USA,1955,78.0,38,Western,29,10
99.0,USA,1994,69.0,122,Komedie,12,10
105.0,Itálie,1950,66.0,13,Drama,5,2
45.0,Německo,2001,15.0,414,Krimi,13,6
88.0,USA,1997,36.0,21,Akční,1,10
92.0,Německo,2002,15.0,12,Krimi,13,6
95.0,Německo,2003,46.0,13,Krimi,13,6
94.0,USA,1994,44.0,43,Akční,1,10
100.0,USA,1997,63.0,74,Drama,5,10
101.0,Itálie,1969,80.0,29,Drama,5,2
104.0,Japonsko,1999,76.0,592,Animovaný,2,3
180.0,USA,1997,53.0,201,Akční,1,10
83.0,USA,1989,66.0,896,Akční,1,10
88.0,Velká Británie,1966,66.0,10,Komedie,12,11
28.0,Velká Británie,2001,78.0,24,Komedie,12,11
28.0,Velká Británie,2002,75.0,23,Komedie,12,11
29.0,Velká Británie,2002,64.0,20,Komedie,12,11
29.0,Velká Británie,2006,66.0,16,Komedie,12,11
187.0,USA,1993,76.0,1 328,Drama,5,10
1176.0,Japonsko,(1995–1996),72.0,45,Animovaný,2,3
107.0,USA,2004,43.0,18 071,Romantický,23,10
12.0,USA,2003,66.0,157,Krátkometrážní,14,10
21.0,USA,2013,67.0,196,Komedie,12,10
21.0,USA,2014,63.0,191,Komedie,12,10
46.0,USA,2004,66.0,27,Drama,5,10
45.0,USA,2006,81.0,98,Krimi,13,10
45.0,USA,2008,85.0,99,Krimi,13,10
23.0,Maďarsko,1969,88.0,109,Animovaný,2,5
74.0,Česko,1993,60.0,395,Pohádka,18,12
92.0,Francie,1984,84.0,34,Dokumentární,4,1
42.0,USA,1995,85.0,40,Dokumentární,4,10
22.0,Japonsko,1997,89.0,81,Animovaný,2,3
25.0,Japonsko,2004,88.0,19,Animovaný,2,3
45.0,Německo,2006,64.0,44,Dokumentární,4,6
102.0,USA,2000,88.0,61 172,Drama,5,10
119.0,USA,2001,65.0,12 058,Komedie,12,10
86.0,Francie,1975,67.0,15,Thriller,28,1
32.0,USA,2019,77.0,302,Animovaný,2,10
90.0,USA,1978,64.0,65,Pornografický,19,10
62.0,USA,1948,78.0,25,Mysteriózní,17,10
112.0,USA,1993,59.0,276,Drama,5,10
87.0,Japonsko,1952,72.0,15,Drama,5,3
90.0,USA,2001,88.0,100 985,Animovaný,2,10
90.0,USA,2004,65.0,36 789,Animovaný,2,10
88.0,USA,1995,41.0,2 151,Horor,10,10
7.0,USA,1938,74.0,42,Rodinný,22,10
89.0,USA,1994,54.0,442,Akční,1,10
8.0,USA,1939,58.0,36,Animovaný,2,10
7.0,USA,1943,77.0,44,Animovaný,2,10
48.0,Velká Británie,2009,85.0,15,Dokumentární,4,11
7.0,USA,1940,54.0,14,Animovaný,2,10
110.0,Velká Británie,1983,64.0,14,Drama,5,11
82.0,USA,1987,55.0,20,Drama,5,10
1056.0,Japonsko,(1999–2000),77.0,76,Animovaný,2,3
