rok,delka,hodnoceni_pocet,zanr,zeme
2000,86.0,177,Thriller,USA
2010,23.0,15,Komedie,USA
2009,88.0,24,Horor,USA
2002,22.0,370,Animovaný,USA
2020,1.0,11,Krátkometrážní,Česko
1996,92.0,13,Thriller,USA
1999,90.0,13,Drama,Kanada
1996,90.0,81,Komedie,USA
1989,92.0,42,Thriller,USA
1998,99.0,165,Dokumentární,Velká Británie
1990,83.0,11,Drama,Itálie
2003,85.0,521,Sci-Fi,USA
1966,80.0,18,Sci-Fi,USA
(1992–2006),7785.0,5 427,Akční,Německo
1951,78.0,16,Mysteriózní,Velká Británie
2002,89.0,14,Drama,Německo
1989,30.0,82,Komedie,Velká Británie
1999,94.0,125,Drama,USA
2019,22.0,10,Komedie,USA
(1992–2012),1240.0,473,Komedie,Velká Británie
1984,110.0,63,Drama,USA
2000,104.0,100,Krimi,Velká Británie
2013,46.0,80,Akční,Německo
2012,45.0,78,Akční,Německo
2017,45.0,68,Akční,Německo
2018,45.0,55,Akční,Německo
1987,90.0,267,Animovaný,USA
1947,105.0,11,Muzikál,USA
1964,115.0,601,Krimi,Velká Británie
1989,102.0,4 278,Rodinný,USA
2004,145.0,669,Komedie,Velká Británie
1946,85.0,204,Drama,Německo
1965,87.0,72,Drama,Japonsko
2004,91.0,1 408,Horor,USA
2017,288.0,16,Animovaný,Japonsko
2008,300.0,67,Animovaný,Japonsko
1999,70.0,759,Animovaný,USA
1996,40.0,26,Animovaný,USA
1980,111.0,23,Drama,USA
2000,18.0,15,Dokumentární,Česko
2003,81.0,55,Horor,USA
2001,66.0,49,Dokumentární,USA
2015,90.0,61,Drama,Francie
2003,88.0,29,Drama,USA
2010,47.0,27,Drama,Velká Británie
1994,110.0,280,Drama,Francie
1972,80.0,37,Horor,USA
1977,95.0,11,Komedie,Velká Británie
1995,70.0,40,Krimi,Česko
1967,42.0,14,Experimentální,Francie
2002,91.0,13,Krimi,Německo
1994,92.0,1 004,Rodinný,USA
1998,93.0,57,Drama,USA
1955,102.0,38,Western,USA
1994,99.0,122,Komedie,USA
1950,105.0,13,Drama,Itálie
2001,45.0,414,Krimi,Německo
1997,88.0,21,Akční,USA
2002,92.0,12,Krimi,Německo
2003,95.0,13,Krimi,Německo
1994,94.0,43,Akční,USA
1997,100.0,74,Drama,USA
1969,101.0,29,Drama,Itálie
1999,104.0,592,Animovaný,Japonsko
1997,180.0,201,Akční,USA
1989,83.0,896,Akční,USA
1966,88.0,10,Komedie,Velká Británie
2001,28.0,24,Komedie,Velká Británie
2002,28.0,23,Komedie,Velká Británie
2002,29.0,20,Komedie,Velká Británie
2006,29.0,16,Komedie,Velká Británie
1993,187.0,1 328,Drama,USA
(1995–1996),1176.0,45,Animovaný,Japonsko
2004,107.0,18 071,Romantický,USA
2003,12.0,157,Krátkometrážní,USA
2013,21.0,196,Komedie,USA
2014,21.0,191,Komedie,USA
2004,46.0,27,Drama,USA
2006,45.0,98,Krimi,USA
2008,45.0,99,Krimi,USA
1969,23.0,109,Animovaný,Maďarsko
1993,74.0,395,Pohádka,Česko
1984,92.0,34,Dokumentární,Francie
1995,42.0,40,Dokumentární,USA
1997,22.0,81,Animovaný,Japonsko
2004,25.0,19,Animovaný,Japonsko
2006,45.0,44,Dokumentární,Německo
2000,102.0,61 172,Drama,USA
2001,119.0,12 058,Komedie,USA
1975,86.0,15,Thriller,Francie
2019,32.0,302,Animovaný,USA
1978,90.0,65,Pornografický,USA
1948,62.0,25,Mysteriózní,USA
